"PLACEKEY","PARENT_PLACEKEY","LOCATION_NAME","SAFEGRAPH_BRAND_IDS","BRANDS","STORE_ID","TOP_CATEGORY","SUB_CATEGORY","NAICS_CODE","LATITUDE","LONGITUDE","STREET_ADDRESS","CITY","REGION","POSTAL_CODE","ISO_COUNTRY_CODE","PHONE_NUMBER","OPEN_HOURS","CATEGORY_TAGS","OPENED_ON","CLOSED_ON","TRACKING_CLOSED_SINCE","GEOMETRY_TYPE","DOMAINS","WEBSITE"
"222-222@3bh-2b8-mhq","","Majestic View B&B","","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110.0,59.669182,-151.496957,"1660 Race Rd","Homer","AK","99603","US",19072356413.0,"","Breakfast","","","2019-07","POLYGON","""[\\""majesticviewbb.com\\""]""","http://www.majesticviewbb.com"
"222-222@3bh-zsy-w8v","222-223@3bh-zsy-w8v","406 Sportsmans Lodge & Family Sports Cafe","","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511.0,60.557805,-151.243232,"10800 Kenai Spur Hwy","Kenai","AK","99611","US",19072836101.0,"","American Food","","2022-03","2019-07","POLYGON","""[]""",""
"222-222@3bt-brp-r6k","","Michelle Johnson","","","","Offices of Physicians","Offices of Physicians, Mental Health Specialists",621112.0,61.182011,-149.719013,"4353 Rendezvous Cir","Anchorage","AK","99504","US",19077296319.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3bt-by5-p35","","Architectural Supply Company","","","","Building Material and Supplies Dealers","",4441.0,61.187098,-149.894615,"3699 Springer St","Anchorage","AK","99503","US",19075611919.0,"{ ""Mon"": [[""8:30"", ""16:30""]], ""Tue"": [[""8:30"", ""16:30""]], ""Wed"": [[""8:30"", ""16:30""]], ""Thu"": [[""8:30"", ""16:30""]], ""Fri"": [[""8:30"", ""16:30""]], ""Sat"": [], ""Sun"": [] }","Hardware and Tools","","","2019-07","POLYGON","""[]""",""
"222-222@3bt-byd-jsq","","PCNET Communications Inc","","","","Electronics and Appliance Stores","Electronics Stores",443142.0,61.195917,-149.893041,"517 W Northern Lights Blvd","Anchorage","AK","99503","US",19076443965.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","IT Services,Security Systems","","","2019-07","POLYGON","""[\\""pcnetak.com\\""]""","https://pcnetak.com"
"222-222@3bt-fbk-3dv","","Hope Daisy Petal","","","","Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly","Assisted Living Facilities for the Elderly",623312.0,61.618755,-149.491033,"3470 N Daisy Petal Cir","Wasilla","AK","99654","US",19075615335.0,"","Elder Care,Skilled Nursing","","","2019-07","POLYGON","""[]""",""
"222-222@3bt-gq2-y9z","","Mat Su Jewish Center","","","","Religious Organizations","Religious Organizations",813110.0,61.602635,-149.210802,"9530 E Horse Play Cir","Palmer","AK","99645","US",19073501787.0,"","","","","2019-07","POLYGON","""[\\""matsujewishcenter.org\\""]""",""
"222-222@3j9-r9z-sqz","","Miller The Mover Ltd","","","","Specialized Freight Trucking","Used Household and Office Goods Moving",484210.0,55.730982,-97.863729,"84 Berens Rd","Thompson","MB","R8N 1X2","CA",12047786988.0,"{ ""Mon"": [[""8:00"", ""16:30""]], ""Tue"": [[""8:00"", ""16:30""]], ""Wed"": [[""8:00"", ""16:30""]], ""Thu"": [[""8:00"", ""16:30""]], ""Fri"": [[""8:00"", ""16:30""]], ""Sat"": [], ""Sun"": [] }","Movers","","","2019-07","POLYGON","""[\\""millerthemover.ca\\""]""","http://www.millerthemover.ca"
"222-222@3j9-rb6-xqz","","Oak Ridge Meats","","","","Specialty Food Stores","Meat Markets",445210.0,55.726873,-97.868717,"88 Severn Cres","Thompson","MB","R8N 1M6","CA",12047786755.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3js-n2g-n89","","North Centennial Manor","","","","Nursing Care Facilities (Skilled Nursing Facilities)","Nursing Care Facilities (Skilled Nursing Facilities)",623110.0,49.423991,-82.431174,"2 Kimberly Dr","Kapuskasing","ON","P5N 1L5","CA","","","","","","2019-07","POLYGON","""[]""",""
